post_id,title,category,score,num_comments,author,url,collected_at,engagement,is_popular
12345001,Code is run more than read,technology,245,52,user1,https://example.com/1,2026-04-10 12:00:00.000000,0.21138211382113822,True
12345002,FBI used iPhone notification data to retrieve deleted messages,technology,180,45,user2,https://example.com/2,2026-04-10 12:00:00.000000,0.24861878453038674,True
12345003,How NASA built Artemis II's fault-tolerant compute,technology,320,78,user3,https://example.com/3,2026-04-10 12:00:00.000000,0.24299065420560748,True
12345004,OpenAI backs Illinois bill that would limit when AI,technology,200,60,user4,https://example.com/4,2026-04-10 12:00:00.000000,0.29850746268656714,True
12345005,We raised $17M to build what comes after Git,technology,210,55,user5,https://example.com/5,2026-04-10 12:00:00.000000,0.26066350710900477,True
12345006,Show HN: Marimo pair - Reactive Python notebooks,technology,150,30,user6,https://example.com/6,2026-04-10 12:00:00.000000,0.1986754966887417,False
12345007,US summons bank bosses over cyber risks from Anthr,technology,175,42,user7,https://example.com/7,2026-04-10 12:00:00.000000,0.23863636363636365,True
12345008,"Show HN: QVAC SDK, a universal JavaScript SDK",technology,120,25,user8,https://example.com/8,2026-04-10 12:00:00.000000,0.2066115702479339,False
12345009,Show HN: Keeper - embedded secret store for Go,entertainment,90,15,user9,https://example.com/9,2026-04-10 12:00:00.000000,0.16483516483516483,False
12345010,Charcuterie - Visual similarity Unicode explorer,technology,160,38,user10,https://example.com/10,2026-04-10 12:00:00.000000,0.2360248447204969,False
12345011,Negative views of Broadcom driving VMware migrat,worldnews,140,35,user11,https://example.com/11,2026-04-10 12:00:00.000000,0.24822695035460993,False
12345012,Show HN: I built a Cargo-like build tool for C,entertainment,110,28,user12,https://example.com/12,2026-04-10 12:00:00.000000,0.25225225225225223,False
12345013,War on Raze,worldnews,190,50,user13,https://example.com/13,2026-04-10 12:00:00.000000,0.2617801047120419,True
12345014,"Inflation Rose to 3.3% in March, Driven by Rising",sports,125,32,user14,https://example.com/14,2026-04-10 12:00:00.000000,0.25396825396825395,False
12345015,Show HN: Rust based eBook library for Python,entertainment,95,18,user15,https://example.com/15,2026-04-10 12:00:00.000000,0.1875,False
12345016,"Show HN: Moon simulator game, ray-casting",sports,85,12,user16,https://example.com/16,2026-04-10 12:00:00.000000,0.13953488372093023,False
12345017,How Close Is Too Close? Applying Fluid Dynamics Re,science,135,28,user17,https://example.com/17,2026-04-10 12:00:00.000000,0.20588235294117646,False
12345018,Show HN: Guruka.com - free guided mediations,entertainment,70,10,user18,https://example.com/18,2026-04-10 12:00:00.000000,0.14084507042253522,False
12345019,Mexico President Sheinbaum Decrees Universal Hea,worldnews,155,40,user19,https://example.com/19,2026-04-10 12:00:00.000000,0.2564102564102564,False
12345020,Muse Spark: Scaling towards personal superintellig,worldnews,120,25,user20,https://example.com/20,2026-04-10 12:00:00.000000,0.2066115702479339,False
12345021,Show HN: 41 years sea surface temperature anomalie,entertainment,65,8,user21,https://example.com/21,2026-04-10 12:00:00.000000,0.12121212121212122,False
12345022,Show HN: Orange Juice - Small UX improvements,entertainment,75,14,user22,https://example.com/22,2026-04-10 12:00:00.000000,0.18421052631578946,False
12345023,Show HN: Is Hormuz open yet,entertainment,80,16,user23,https://example.com/23,2026-04-10 12:00:00.000000,0.19753086419753085,False
12345024,Show HN: A marginally useful x86-64 ELF executab,entertainment,60,6,user24,https://example.com/24,2026-04-10 12:00:00.000000,0.09836065573770492,False
12345025,Show HN: I pipe free sports streams into Jellyfin,sports,100,20,user25,https://example.com/25,2026-04-10 12:00:00.000000,0.19801980198019803,False
12345026,GLM-5.1: Towards Long-Horizon Tasks,worldnews,130,30,user26,https://example.com/26,2026-04-10 12:00:00.000000,0.22900763358778625,False
12345027,IPv6 is the only way forward,worldnews,145,38,user27,https://example.com/27,2026-04-10 12:00:00.000000,0.2602739726027397,False
12345028,Moving fast in hardware: lessons from lab to 100M,worldnews,105,22,user28,https://example.com/28,2026-04-10 12:00:00.000000,0.20754716981132076,False
12345029,"Three hundred synths, 3 hardware projects, and one",worldnews,115,24,user29,https://example.com/29,2026-04-10 12:00:00.000000,0.20689655172413793,False
